id,osm_id,lat,lon
f8923078,,50.4390578,25.9989651
4613bb07,,50.3901625,25.2138269
a4799de0,,50.4850624,26.0670792
820f16cb,,50.6190106,25.6721321
8783fd1d,,50.4026323,25.9846663
0510d14b,,50.3428613,25.5995582
12cbef72,,50.1891861,25.5242539
9ffffd36,,50.3492594,25.194032
603f4106,,50.4374672,25.2025982
a83674a9,,50.3093639,25.8664364
b4dac645,,50.4208378,26.3879178
189b52f3,,50.4497895,26.0996065
c1842ae5,,50.8734129,26.4594553
ae8bcb60,,50.9063716,26.2102483
1c0bc502,,51.1287628,26.3040432
3a154ab4,,50.8147877,27.1093695
0a9371a7,,50.9307722,26.8612959
60899a5d,,50.4406544,26.4811084
ac8c5c1e,,50.6616937,26.3585408
6eb4d331,,50.745363,27.084073
7019a6c8,,50.7115593,25.9503776
7f54b61c,,50.7241232,26.1125793
98f8c686,,50.5960494,25.9121627
58fe694f,,50.6988176,26.1457655
f0d2895d,,50.7508299,26.0262647
fe08fdbd,,50.7253932,26.4299516
c9243115,,50.691056,26.9525135
529d841d,,50.5822325,26.3203691
d8e1e792,,50.5987291,27.0009604
34306c6f,,50.559608,26.2828547
c08aef8c,,50.6665922,26.680906
a9a3b488,,50.6943928,26.8328776
9d4be5da,,50.6525389,26.1774246
b568be34,,50.5995425,26.1036529
d21d9003,,50.7407758,26.1151572
ae167f75,,50.6633004,25.9641938
3fd82c49,,50.7162963,26.7224443
1b04c54b,,50.6186719,26.9109275
252067d8,,50.6201855,26.7436065
ce45b619,,50.7094812,26.6489178
7b6f61a1,,50.7107034,26.8818369
a70806c6,,51.4365602,26.4702783
71d99997,,51.3819615,27.4711193
5d119451,,51.4220535,26.1406499
c1154758,,51.2797501,26.2977239
c09e682c,,51.540012,25.8896565
0c655c5f,,51.5033159,26.2107343
74c2e394,,51.3746336,26.0536734
fe37f0d4,,51.2658791,26.0587351
655f8a8e,,51.3667124,27.0756669
d584ed56,210192410,50.327853,26.521205
58b31374,4942333426,50.617483,27.149336
6a020892,280728222,50.659225,26.850932
414d157b,184151164,50.746055,25.970982
95955b46,610498688,50.530480,26.370103
f921e72e,366083885,50.420243,25.743373
c9e15bb1,202794934,51.336221,26.596299
6610bb20,115861761,50.619754,26.240445
fdbbc317,393574567,50.688633,26.825545
24034fd5,13126067,50.511168,25.218462
d92dabc1,545078900,50.1604855,25.3059132
a1c8c350,1312384335,50.4700401,25.2782159
59a04970,816816230,50.5070231,25.6081232
f5b0f093,436538996,50.3022743,25.6206363
601f581e,129105694,50.530050,26.258311
379b3340,210349204,50.326566,26.521342
3e3c7b6f,210736946,50.3214984,26.5247155
cbf19f95,677748938,51.131619,26.308297
d0b27573,,51.1328667,26.2992131
