id,osm_id,lat,lon
09d332bf,1859516009,51.07382,23.20261
aed239fc,,50.7023486,25.6714524
0df5bc76,,50.3787918,26.1001779
cc727b52,,50.4818509,25.4700008
4a5378e8,,50.4631047,25.1861003
29f875ff,,50.3290972,26.1467752
0d84b02a,,50.3056172,26.2438553
40913c93,,50.3301559,26.0631111
e9430620,,50.5617532,25.6195379
b59f5e23,,50.2820628,25.3863291
3acc850e,,50.2781708,25.6181203
b79936ef,,50.3760906,25.3783651
1a1bd1d9,,50.5416061,25.4015741
121cc6a1,,50.2975908,25.365368
19850723,,50.5102283,25.5064985
ead280da,,50.4154577,25.7572099
dd953c21,,50.5199879,25.9478317
65114359,,50.3796258,25.8844322
d0eacca6,,50.4570719,25.7235611
950c6ff7,,50.42689,26.0246669
e39bba24,,50.5201415,25.851973
6ff23df6,,50.5551011,25.7793835
2c2842f2,,50.4393255,26.1689777
c95e3ef4,,50.4553934,25.2820732
653980a1,,50.5082619,25.3065212
540429dc,,50.4284091,25.8631894
d66fc1f3,,50.3226561,25.9317081
9ffffd36,,50.332879,25.2200295
4b8c77b1,,50.3510785,26.1230571
7ade95f4,,50.3903427,25.7412901
25d74c2f,,50.3315137,25.7892423
f064b031,,50.3769099,25.5087696
f9740f6d,,50.4619656,25.811081
3fc55530,,50.421884,25.3784541
d1fe4e3d,,50.6343985,25.5249228
c1f3ff64,,50.3702319,25.1577451
fbc5851f,,50.1959849,25.3359449
ecbc6547,,50.2368172,25.6116493
940f6522,,50.2200806,25.7048089
5d3513a7,,50.3052958,25.3142831
82dbae81,,50.4591049,25.6263815
3fb6c915,,50.2661347,25.267563
7da1cb69,,50.6401428,25.4330372
8bdb7b6c,,50.1042601,25.3115341
09269bac,,50.1036322,25.3455553
ff51025a,,50.0939425,25.3602627
34951df8,,50.0713958,25.3950286
eb536626,,51.4216752,26.4816996
f7e3781a,,51.3552581,26.3645145
d76376d3,,50.6256523,27.0843827
dfd2a08c,,50.682124,27.2335647
7683ba18,,50.6744961,27.1390869
9106fce9,,50.6140677,27.1557308
71595e74,,50.6164369,27.1539853
6e7a99e6,,50.7271124,27.2687959
